"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTPRK",0,0.919884583813834,0.683,0.281,0,"Oligodendrocytes","PTPRK"
"SEPT7",0,0.913919632170004,0.615,0.21,0,"Oligodendrocytes","SEPT7"
"NCKAP5",0,0.911504278119381,0.59,0.196,0,"Oligodendrocytes","NCKAP5"
"DLG1",0,0.905189156704899,0.619,0.249,0,"Oligodendrocytes","DLG1"
"SPOCK1",0,0.898144055424333,0.63,0.275,0,"Oligodendrocytes","SPOCK1"
"ARAP2",0,0.890205907973803,0.601,0.194,0,"Oligodendrocytes","ARAP2"
"MARCH1",0,0.876878512661578,0.715,0.382,0,"Oligodendrocytes","MARCH1"
"SGK1",0,0.865638435407552,0.54,0.147,0,"Oligodendrocytes","SGK1"
"ENPP2",0,0.860832255216572,0.491,0.02,0,"Oligodendrocytes","ENPP2"
"TRIM2",0,0.856950881973481,0.58,0.176,0,"Oligodendrocytes","TRIM2"
"TCF12",0,0.850304941944467,0.665,0.296,0,"Oligodendrocytes","TCF12"
"CREB5",0,0.846707709518466,0.514,0.075,0,"Oligodendrocytes","CREB5"
"KCNH8",0,0.843238653679192,0.497,0.061,0,"Oligodendrocytes","KCNH8"
"FMNL2",0,0.820087743488363,0.7,0.401,0,"Oligodendrocytes","FMNL2"
"ZEB21",0,0.816810818842777,0.653,0.301,0,"Oligodendrocytes","ZEB2"
"ANK3",0,0.804939129350995,0.707,0.505,0,"Oligodendrocytes","ANK3"
"MAGI2",0,0.803739479042918,0.965,0.838,0,"Oligodendrocytes","MAGI2"
"ZNF536",0,0.802740350887424,0.548,0.116,0,"Oligodendrocytes","ZNF536"
"LINC01608",0,0.798108087312981,0.394,0.013,0,"Oligodendrocytes","LINC01608"
"C10orf90",0,0.787884081318937,0.478,0.055,0,"Oligodendrocytes","C10orf90"
"SLAIN1",0,0.78378125338869,0.492,0.093,0,"Oligodendrocytes","SLAIN1"
"PDE8A",0,0.779851357896763,0.51,0.116,0,"Oligodendrocytes","PDE8A"
"ATP8A1",0,0.774639471000084,0.558,0.202,0,"Oligodendrocytes","ATP8A1"
"KLHL32",0,0.770713715727289,0.486,0.124,0,"Oligodendrocytes","KLHL32"
"DNAJC6",0,0.764230149422477,0.51,0.138,0,"Oligodendrocytes","DNAJC6"
"GAB1",0,0.762966933617365,0.514,0.141,0,"Oligodendrocytes","GAB1"
"NKAIN2",0,0.760296242373466,0.741,0.447,0,"Oligodendrocytes","NKAIN2"
"SH3GL3",0,0.754001579361843,0.503,0.152,0,"Oligodendrocytes","SH3GL3"
"MAP4K4",0,0.752333346933058,0.592,0.227,0,"Oligodendrocytes","MAP4K4"
"CLMN",0,0.742291076207453,0.435,0.03,0,"Oligodendrocytes","CLMN"
"DIP2B",0,0.741269573067945,0.52,0.142,0,"Oligodendrocytes","DIP2B"
"CDK19",0,0.73812021305769,0.485,0.114,0,"Oligodendrocytes","CDK19"
"CLDND1",0,0.732794269260047,0.432,0.036,0,"Oligodendrocytes","CLDND1"
